seed,I_ext,stability_margin,rho_A,T,target_scale,dir_seed,energy,rel_reachability_error
0,0.0,0.19303321454903044,0.9079948181553317,50,0.01,1,0.00032426797672594133,0.009160526228078069
0,0.0,0.19303321454903044,0.9079948181553317,50,0.01,2,0.00026741897384141306,0.009005317643933227
0,0.0,0.19303321454903044,0.9079948181553317,50,0.02,0,0.0012554977215024931,0.013243992210525713
0,0.0,0.19303321454903044,0.9079948181553317,50,0.02,1,0.0012278742384981402,0.013089794216151763
0,0.0,0.19303321454903044,0.9079948181553317,50,0.02,2,0.0012880024132349587,0.005743224721902235
0,0.0,0.19303321454903044,0.9079948181553317,50,0.05,0,0.007682740475289384,0.012290446685596573
0,0.0,0.19303321454903044,0.9079948181553317,50,0.05,1,0.008160926156497496,0.012093945996932616
0,0.0,0.19303321454903044,0.9079948181553317,50,0.05,2,0.007926056776723136,0.018006440638288223
0,0.0,0.19303321454903044,0.9079948181553317,50,0.1,0,0.03319910167850967,0.022461680276642155
0,0.0,0.19303321454903044,0.9079948181553317,50,0.1,1,0.03125312002406482,0.028260164085610526
0,0.0,0.19303321454903044,0.9079948181553317,50,0.1,2,0.0324448990605129,0.023875279376875433
0,0.0,0.19303321454903044,0.9079948181553317,100,0.005,0,7.804702523304064e-05,0.01103139194224175
0,0.0,0.19303321454903044,0.9079948181553317,100,0.005,1,7.772343226327399e-05,0.02034469712407896
0,0.0,0.19303321454903044,0.9079948181553317,100,0.005,2,8.283747231075196e-05,0.00643696952135317
0,0.0,0.19303321454903044,0.9079948181553317,100,0.01,0,0.0002999603004176345,0.0016696223623725783
0,0.0,0.19303321454903044,0.9079948181553317,100,0.01,1,0.00032052654241741596,0.00737374771183056
0,0.0,0.19303321454903044,0.9079948181553317,100,0.01,2,0.0003290174027669121,0.030084614968075716
0,0.0,0.19303321454903044,0.9079948181553317,100,0.02,0,0.0012966828917477088,0.009301863753619067
0,0.0,0.19303321454903044,0.9079948181553317,100,0.02,1,0.001253625982348323,0.019907869392145682
0,0.0,0.19303321454903044,0.9079948181553317,100,0.02,2,0.001237265116408226,0.005016226661906879
0,0.0,0.19303321454903044,0.9079948181553317,100,0.05,0,0.007882818809020356,0.012186775521793595
0,0.0,0.19303321454903044,0.9079948181553317,100,0.05,1,0.0076554525297081516,0.013626575171253165
0,0.0,0.19303321454903044,0.9079948181553317,100,0.05,2,0.008200142092641386,0.012402737092136414
0,0.0,0.19303321454903044,0.9079948181553317,100,0.1,0,0.029809950030097496,0.02600024880046647
0,0.0,0.19303321454903044,0.9079948181553317,100,0.1,1,0.032767704777784776,0.02655214707087972
0,0.0,0.19303321454903044,0.9079948181553317,100,0.1,2,0.03246982952554513,0.026759806320452707
0,0.0,0.19303321454903044,0.9079948181553317,200,0.005,0,8.077203040533793e-05,0.01805428076160347
0,0.0,0.19303321454903044,0.9079948181553317,200,0.005,1,7.908292365329876e-05,0.003258293957297373
0,0.0,0.19303321454903044,0.9079948181553317,200,0.005,2,6.854825633177646e-05,0.017624163239971312
0,0.0,0.19303321454903044,0.9079948181553317,200,0.01,0,0.0003061262241629345,0.017052642161683108
0,0.0,0.19303321454903044,0.9079948181553317,200,0.01,1,0.0003192817038612934,0.008439895857130987
0,0.0,0.19303321454903044,0.9079948181553317,200,0.01,2,0.00031727746478941944,0.003935505604976145
0,0.0,0.19303321454903044,0.9079948181553317,200,0.02,0,0.0012450160687028646,0.010352326340919222
0,0.0,0.19303321454903044,0.9079948181553317,200,0.02,1,0.0012454069604941579,0.01602653292972434
0,0.0,0.19303321454903044,0.9079948181553317,200,0.02,2,0.0012868447196440768,0.019646693574856034
0,0.0,0.19303321454903044,0.9079948181553317,200,0.05,0,0.008207701470911459,0.012965810849899763
0,0.0,0.19303321454903044,0.9079948181553317,200,0.05,1,0.008049669257088693,0.012464776767232242
0,0.0,0.19303321454903044,0.9079948181553317,200,0.05,2,0.008201440507498823,0.011693109755173361
0,0.0,0.19303321454903044,0.9079948181553317,200,0.1,0,0.030370719318321356,0.027297764198753207
0,0.0,0.19303321454903044,0.9079948181553317,200,0.1,1,0.03188951615195433,0.022550680156066687
0,0.0,0.19303321454903044,0.9079948181553317,200,0.1,2,0.029140537394453114,0.027496310766348345
0,0.08,0.23989202310639124,0.8869683214665756,5,0.005,0,0.00012113459448917133,0.029740936218439658
0,0.08,0.23989202310639124,0.8869683214665756,5,0.005,1,0.00011926803567178097,0.031193012375730064
0,0.08,0.23989202310639124,0.8869683214665756,5,0.005,2,0.00012263245694708424,0.024493046299717054
